origin_id,destination_id,distance
0,0,1
0,1,507
0,2,842
0,3,470
0,4,1275
0,5,1163
0,6,1235
0,7,1737
0,8,1484
0,9,1036
0,10,1423
0,11,656
0,12,1031
0,13,1056
0,14,1072
0,15,851
0,16,314
1,0,508
1,1,1
1,2,828
1,3,540
1,4,1773
1,5,1394
1,6,1149
1,7,2235
1,8,1399
1,9,1534
1,10,1654
1,11,818
1,12,882
1,13,663
1,14,961
1,15,1079
1,16,211
2,0,840
2,1,839
2,2,1
2,3,1146
2,4,1977
2,5,657
2,6,401
2,7,2442
2,8,651
2,9,1373
2,10,917
2,11,316
2,12,381
2,13,587
2,14,1734
2,15,495
2,16,740
3,0,461
3,1,535
3,2,114
3,3,1
3,4,1721
3,5,1609
3,6,1484
3,7,2183
3,8,1734
3,9,1491
3,10,1869
3,11,1002
3,12,1267
3,13,1114
3,14,595
3,15,127
3,16,380
4,0,1276
4,1,1772
4,2,1972
4,3,1727
4,4,1
4,5,17
4,6,2402
4,7,625
4,8,2524
4,9,626
4,10,196
4,11,1664
4,12,224
4,13,2322
4,14,2314
4,15,1582
4,16,1579
5,0,1152
5,1,1377
5,2,645
5,3,1604
5,4,1693
5,5,1
5,6,850
5,7,2243
5,8,945
5,9,1089
5,10,275
5,11,584
5,12,1029
5,13,1235
5,14,2207
5,15,303
5,16,1203
6,0,1235
6,1,1161
6,2,402
6,3,1476
6,4,2385
6,5,861
6,6,1
6,7,285
6,8,245
6,9,1781
6,10,1121
6,11,724
6,12,335
6,13,685
6,14,2078
6,15,872
6,16,1103
7,0,1737
7,1,2233
7,2,2428
7,3,2188
7,4,625
7,5,2256
7,6,2861
7,7,1
7,8,3079
7,9,1245
7,10,2516
7,11,2121
7,12,2701
7,13,2783
7,14,2791
7,15,2137
7,16,204
8,0,1485
8,1,1403
8,2,652
8,3,1726
8,4,2527
8,5,956
8,6,244
8,7,3077
8,8,1
8,9,1923
8,10,1216
8,11,974
8,12,525
8,13,876
8,14,2328
8,15,967
8,16,1353
9,0,1036
9,1,1532
9,2,1368
9,3,1497
9,4,623
9,5,1097
9,6,1799
9,7,1243
9,8,192
9,9,1
9,10,1357
9,11,1061
9,12,1715
9,13,1867
9,14,21
9,15,978
9,16,1339
10,0,1426
10,1,1651
10,2,919
10,3,1878
10,4,1946
10,5,275
10,6,1124
10,7,2496
10,8,1218
10,9,1342
10,10,1
10,11,858
10,12,1303
10,13,1509
10,14,2428
10,15,577
10,16,1477
11,0,655
11,1,819
11,2,311
11,3,1008
11,4,1664
11,5,595
11,6,742
11,7,213
11,8,991
11,9,1061
11,10,855
11,11,1
11,12,684
11,13,846
11,14,1611
11,15,280
11,16,645
12,0,103
12,1,879
12,2,382
12,3,1271
12,4,2242
12,5,1041
12,6,334
12,7,2704
12,8,525
12,9,1715
12,10,1301
12,11,688
12,12,1
12,13,352
12,14,1874
12,15,867
12,16,899
13,0,1055
13,1,655
13,2,585
13,3,11
13,4,232
13,5,1244
13,6,682
13,7,2782
13,8,872
13,9,1868
13,10,1504
13,11,840
13,12,350
13,13,1
13,14,1703
13,15,1035
13,16,756
14,0,1072
14,1,1146
14,2,1751
14,3,597
14,4,2331
14,5,222
14,6,2081
14,7,2793
14,8,2331
14,9,2102
14,10,2464
14,11,1613
14,12,1877
14,13,1695
14,14,1
14,15,1867
14,16,976
15,0,852
15,1,1074
15,2,495
15,3,1304
15,4,1585
15,5,316
15,6,865
15,7,2135
15,8,959
15,9,981
15,10,576
15,11,281
15,12,868
15,13,1038
15,14,1851
15,15,1
15,16,901
16,0,314
16,1,210
16,2,782
16,3,373
16,4,1579
16,5,1215
16,6,1103
16,7,2041
16,8,1353
16,9,134
16,10,1475
16,11,646
16,12,900
16,13,759
16,14,960
16,15,900
16,16,1
